,store_id,address,town,state,zip_code,phone_number,bisc_gravy,store_open_date,store_latitude,store_longitude
7315,11250,250 Maple St,Marlborough,MASSACHUSETTS,01752,5084858547,0,1989-12-21,42.338985,-71.541656
7316,14402,1916 Capital Cir Ne,Tallahassee,FLORIDA,32308,8506711430,0,1994-12-15,30.475717,-84.236367
7317,326,1660 Kennedy Dr,Carpentersville,ILLINOIS,60110,8474289137,0,1961-07-28,42.113227,-88.25833
7318,4111,611 W Charter Way,Stockton,CALIFORNIA,95206,2097623500,0,1977-06-26,37.937558,-121.295585
7319,32160,9235 N Sam Houston Pkwy E,Humble,TEXAS,77396,2814413483,0,2007-06-13,29.936797,-95.252688
7320,1313,206 W Olive Ave,Merced,CALIFORNIA,95348,2097236421,1,1969-12-17,37.318696,-120.473458
7321,10912,6072 Fairburn Rd,Douglasville,GEORGIA,30134,7709425953,0,1989-04-07,33.750694,-84.731331
7322,11600,5055 N Broadway,Knoxville,TENNESSEE,37918,8656899000,1,1990-11-27,36.031113,-83.929859
7323,14951,300 Market Place Dr,Oakdale,PENNSYLVANIA,15071,7242181798,0,1994-08-11,40.440902,-80.239349
7324,5350,250 Columbia Ave,Lexington,SOUTH CAROLINA,29072,8033595700,1,1979-12-17,33.987098,-81.243765
7325,2495,1720 W Cumberland Ave,Knoxville,TENNESSEE,37912,8656374148,1,1973-09-13,35.955964,-83.933319
7326,6985,1309 Forestdale Blvd,Birmingham,ALABAMA,35214,2057982896,1,1984-05-22,33.561647,-86.892604
7327,7697,1220 Jeffreys Dr,Osceola,IOWA,50213,6413423992,1,1985-12-11,41.028638,-93.782581
7328,26820,10 Us Highway 22,Green Brook,NEW JERSEY,08812,9087530455,0,2002-05-16,40.610107,-74.464878
7329,27698,8211 Snowden River Pky,Columbia,MARYLAND,21045,4107507975,0,2002-11-23,39.209583,-76.799655
7330,4812,1007 Highway 190,Covington,LOUISIANA,70433,9858926218,0,1978-12-18,30.47618,-90.086172
7331,5700,1450 East National Highway,Washington,INDIANA,47501,8122541212,0,1980-12-04,38.652544,-87.158076
7332,27362,1770 Decker Drive,Baytown,TEXAS,77520,2814203553,0,2002-04-17,29.740305,-94.980577
7333,8132,1700 W Pecan Street,Pflugerville,TEXAS,78660,5129890771,0,1997-02-25,30.447799,-97.639645
7334,6205,329 Franklin Plaza,Franklin,NORTH CAROLINA,28734,8283697462,1,1982-04-28,35.163435,-83.392484
7335,15839,325 Commercial Ct,Venice,FLORIDA,34292,9414861138,1,1997-09-23,27.105602,-82.385298
7336,23458,1620 Leestown Rd,Lexington,KENTUCKY,40510,8592522265,1,1999-05-12,38.066943,-84.526651
7337,17804,750 S Alabama Ave,Chesnee,SOUTH CAROLINA,29323,8644615300,1,1996-06-27,35.134477,-81.863219
7338,13514,45 E Golf Rd,Arlington Heights,ILLINOIS,60005,8474278773,0,1996-11-20,42.050962,-87.978252
7339,11529,3430 Tully Rd,Modesto,CALIFORNIA,95350,2095721664,0,1990-08-16,37.68909,-121.012182
7340,3007,3713 Mc Coy Rd,Orlando,FLORIDA,32812,4078590431,0,1974-09-26,28.45208,-81.336865
7341,7947,2800 Military Avenue,Baxter Springs,KANSAS,66713,6208563401,0,1986-07-17,37.008079,-94.736392
7342,23008,719 E Thunderbird Rd,Phoenix,ARIZONA,85020,6028668575,0,2000-04-26,33.607089,-112.064334
7343,11483,2101 N Roan St,Johnson City,TENNESSEE,37601,4232825663,1,1990-08-01,36.340534,-82.375619
7344,11179,8129 Geo Washngtn Hwy,Yorktown,VIRGINIA,23692,7578989833,0,1989-12-04,37.190192,-76.48843
7345,14681,1711 Airline Hwy,Hollister,CALIFORNIA,95023,8316379143,0,1995-10-31,36.837093,-121.389149
7346,31936,3415 W Cherry Lane,Meridian,IDAHO,83642,2088840089,0,2007-12-19,43.618959,-116.435863
7347,3457,1131n Main St,Miami,OKLAHOMA,74354,9185422094,1,1975-09-10,36.888327,-94.878113
7348,32619,10026 Curry Ford Rd,Orlando,FLORIDA,32829,4073825720,0,2007-12-22,28.509515,-81.241792
7349,4392,2331 W Sycamore St,Kokomo,INDIANA,46901,7654578784,0,1977-12-21,40.487209,-86.164108
7350,37948,5402 Sunrise Blvd,Citrus Heights,CALIFORNIA,95610,9169678267,0,2016-08-30,38.664898,-121.271832
7351,17107,185 Wilson Rd,Bentleyville,PENNSYLVANIA,15314,7242392668,0,1995-09-20,40.130093,-80.001926
7352,20274,580 Middletown-Warwick Road,Middletown,DELAWARE,19709,3023783936,0,1997-06-18,39.450991,-75.72523
7353,10338,2601 Oakdale Rd,Modesto,CALIFORNIA,95355,2093602810,0,1987-10-22,37.678395,-120.958164
7354,1939,40728 Ushy 19 N,Tarpon Springs,FLORIDA,34689,7279438721,0,1972-01-13,28.142238,-82.74109
7355,7044,1515 N Bob F Griffin Rd,Cameron,MISSOURI,64429,8166327201,0,1984-07-25,39.752648,-94.216094
7356,1893,91-18 Beach Channel Dr,Rockaway Beach,NEW YORK,11693,7184744949,0,1971-12-14,40.588921,-73.816948
7357,17557,464 E Main,Crowley,TEXAS,76036,8172977092,0,1996-10-01,32.578002,-97.353667
7358,10768,423 Jefferson St,Frederick,MARYLAND,21701,3016622985,0,1988-12-30,39.407569,-77.430143
7359,15090,780 Quintana Rd,Morro Bay,CALIFORNIA,93442,8057726703,0,1995-10-19,35.368139,-120.842956
7360,13847,12900 E Mississippi Ave,Aurora,COLORADO,80012,3036712578,0,1995-04-18,39.696113,-104.838278
7361,5583,917 Ave D,Snohomish,WASHINGTON,98290,3602948756,0,1980-09-15,47.923324,-122.097264
7362,2753,800 N 4th Street,Manhattan,KANSAS,66502,7857891008,1,1974-02-05,39.187214,-96.56115
7363,3841,301 Veterans Hwy,Metairie,LOUISIANA,70005,5048356437,0,1976-10-29,30.00118,-90.125984
7364,28701,29 Victory Lane,Vienna,GEORGIA,31092,2292684916,0,2004-10-20,32.085915,-83.760155
7365,849,1630 Highland Ave,National City,CALIFORNIA,91950,6194777575,0,1966-08-09,32.670381,-117.096049
7366,11895,1320 Lincolnway S,Ligonier,INDIANA,46767,2608943478,1,1991-08-20,41.453594,-85.586886
